start,end,dist
6,32,16.83933846207912
6,33,30.115087478795456
6,34,36.76081212435438
7,8,17.126020772818777
7,9,23.986870194060966
7,10,13.696211631291366
7,11,13.59195157075406
7,12,20.766039068649803
7,13,21.069708452632987
7,14,29.105686536761812
7,15,51.86570875801055
7,16,51.91035863116569
7,17,47.33875844982289
7,18,44.489111731773605
7,19,63.623774161234856
7,23,37.77441991361688
7,24,41.414294569776274
7,25,39.42563452676117
7,26,42.122807023439336
7,27,37.68732733044456
7,28,34.47578614465186
7,29,35.15157739526647
7,30,64.50482754470205
7,31,14.82398108638075
7,32,13.67428112373728
7,33,32.983550565723625
7,34,37.022439157218344
8,9,11.045998065425106
8,10,7.93127387391872
8,11,5.400251322043352
8,12,37.80238572921302
8,13,37.74589121344133
8,14,46.18483054703621
8,17,59.316088358668985
8,18,56.60966115731692
8,23,43.999360503418096
8,24,48.389884253865574
8,25,36.454949566495905
8,26,38.211709435697855
8,27,21.763751372195
8,28,21.48330422292521
8,29,23.309867463792184
8,30,52.64114721880533
8,31,14.401828765123746
8,32,17.37200630927763
8,33,18.132903339706658
8,34,27.510140251015688
9,10,10.31725871126777
9,11,10.797763756210523
9,12,44.27869646097888
9,13,44.97378111820781
9,14,52.34688641026037
9,23,54.97684859162349
9,24,59.33284160261983
9,25,46.884625420133396
9,26,48.386608546947144
9,27,25.04288292053102
9,28,28.50599191363407
9,29,30.994727835389615
9,30,58.56999533915875
9,31,13.004866605403363
9,32,16.795245300173793
9,33,9.144709445840888
9,34,16.538138921078524
10,11,2.764891187885627
10,12,34.005792733291855
10,13,34.6565670016995
10,14,42.13917736336384
10,15,62.320195364134825
10,16,62.776593167466224
10,17,59.98082506321706
10,18,57.1730111278703
10,23,47.23814910282362
10,24,51.38846123456606
10,25,42.72093297520736
10,26,44.76860532675678
10,27,29.23515419445003
10,28,29.410117133455287
10,29,31.177816113563495
10,30,60.57154600485372
10,31,6.50620414677168
10,32,9.49469908186197
10,33,19.4019616834473
10,34,24.292338636490243
11,12,34.28841457048932
11,13,34.65489217281921
11,14,42.55560150074201
11,15,63.6660433616072
11,16,64.01762309357798
11,17,58.73698069353182
11,18,55.95555182574083
11,23,45.22466443376855
11,24,49.447437596564406
11,25,40.057901488212565
11,26,42.06744530505284
11,27,27.05119496571789
11,28,26.789029313589555
11,29,28.49136551703262
11,30,57.956685269317084
11,31,9.233861286196944
11,32,11.999424907661375
11,33,19.51546793640974
11,34,25.975289699075997
12,13,3.5781433728941225
12,14,8.412706222997297
12,15,34.38601646196199
12,16,33.74135406618069
12,17,35.70579890317808
12,18,33.009764546411404
12,19,53.60928437602367
12,20,56.64685853559551
12,23,37.226831030979746
12,24,38.9338739076827
12,25,48.991869660053936
12,26,52.11944733641262
12,27,57.27791176739479
12,28,52.40112202138476
12,29,52.296692301830994
12,31,32.95147592272716
12,32,30.082423113780862
12,33,53.40145108184358
12,34,55.13102608227487
13,14,9.642966060016903
13,15,36.83802746279902
13,16,35.99150014692908
13,17,32.39512915038831
13,18,29.662599868195464
13,19,50.25117186946428
13,20,53.37515114220436
13,23,33.775896579587595
13,24,35.39607261890247
13,25,46.259181912107834
13,26,49.40423273099012
13,27,56.420962678665106
13,28,51.04961425181472
13,29,50.75463250499011
13,31,34.25722786297036
13,32,31.65584199295249
13,33,54.02754177239281
13,34,56.65009871952609
14,15,27.62655028531793
14,16,26.57759990883238
14,17,34.912207782478646
14,18,32.53368710709867
14,19,52.723983338362125
14,20,55.19650999183052
14,23,41.316794653620114
14,24,42.19405619482558
14,25,55.51495821422598
14,26,58.67106675897895
14,28,60.5655656564236
14,29,60.34102639208982
14,31,40.59846494045269
14,32,37.47933345891467
14,33,61.488836733761154
14,34,62.39423002753451
15,16,2.7405719608892043
15,17,57.4012804343732
15,18,55.73071499694611
15,31,58.42087261906205
15,32,54.664279683165475
16,17,55.27912187998461
16,18,53.68389536011142
16,31,59.11123951684675
16,32,55.3847893623921
17,18,2.862644304856963
17,19,17.9478541988292
17,20,20.997661371952052
17,21,46.48410657344289
17,22,43.47642632418146
17,23,22.436828385771484
17,24,19.18777467935291
17,25,43.89318199689942
17,26,46.471770403333245
17,28,61.93183673354687
17,29,60.09041783875914
17,31,62.16251639317492
17,32,60.65202365083348
18,19,20.599547036173583
18,20,23.79003323136121
18,21,47.76481996056168
18,22,44.75105870092795
18,23,21.01370370342939
18,24,18.203306899002524
18,25,42.373208903389994
18,26,45.04868215014673
18,28,59.72856486363905
18,29,57.962519477101154
18,31,59.312261935516545
18,32,57.79113061492323
19,20,4.616223452359196
19,21,35.0333684709342
19,22,32.2865698577467
19,23,30.90073285923607
19,24,26.362190021762384
19,25,50.18834981383872
19,26,51.972422270787405
20,21,37.21223056821734
20,22,34.627303229321996
20,23,35.4759729248438
20,24,30.94685953073195
20,25,54.784904345518626
20,26,56.542564124075
21,22,3.013853331050252
21,23,39.49931392951045
21,24,36.92121904466692
21,25,44.339458261404396
21,26,43.89898622059163
21,30,63.1069037921548
22,23,36.796274562411135
22,24,34.097318783312765
22,25,42.64637895141409
22,26,42.390985991623005
22,29,63.51818445748168
22,30,62.96041946313111
23,24,4.561861483008291
23,25,21.459149546964486
23,26,24.053641723352968
23,27,50.22691147979561
23,28,41.206714076957134
23,29,38.999667190928214
23,30,55.62220030422345
23,31,51.389247741070044
23,32,51.19844794497519
23,33,61.6061120305287
24,25,25.16703595927094
24,26,27.538285434552126
24,27,54.73623105179784
24,28,45.67219648383542
24,29,43.41537823707858
24,30,58.883768538594495
24,31,55.331120165823954
24,32,54.96689406723055
25,26,3.158948819781057
25,27,33.39774405081079
25,28,24.026223708801144
25,29,21.179193487737408
25,30,34.41818710583668
25,31,48.63803840443809
25,32,50.03908439068903
25,33,50.84142111740937
25,34,63.29459798661964
26,27,33.314466874195844
26,28,24.085451452642207
26,29,21.128777068919714
26,30,31.60557369152817
26,31,50.814415132074956
26,32,52.368924851583685
26,33,51.85402484168137
27,28,9.4019985305821
27,29,12.22686631215681
27,30,33.87814085507739
27,31,35.243208160490305
27,32,38.664365545931496
27,33,23.129436937228366
27,34,37.62365198863453
28,29,3.0125194107864273
28,30,31.16770308239655
28,31,35.882565586006265
28,32,38.779823590140104
28,33,29.36310652726617
28,34,43.349729455229046
29,30,29.684409087014593
29,31,37.681260345726116
29,32,40.413170529785695
29,33,32.24366878809398
29,34,46.11686752879974
30,33,56.84720638434
31,32,3.798089068824523
31,33,21.80288946508196
31,34,22.47881126701921
32,33,25.52240882970291
32,34,25.050101829036446
33,34,14.509002770061178
