ObservationTime,WindGustSpeed (Kilometres per hour)
2020-01-10 05:00:00+00:00,39.72
2020-01-10 06:00:00+00:00,41.64
2020-01-10 07:00:00+00:00,40.32
2020-01-10 08:00:00+00:00,39.66
2020-01-10 09:00:00+00:00,36.36
2020-01-10 10:00:00+00:00,36.06
2020-01-10 11:00:00+00:00,33.84
2020-01-10 12:00:00+00:00,27.66
2020-01-10 13:00:00+00:00,25.56
2020-01-10 14:00:00+00:00,23.16
2020-01-10 15:00:00+00:00,18.48
2020-01-10 16:00:00+00:00,14.7
2020-01-10 17:00:00+00:00,16.5
2020-01-10 18:00:00+00:00,22.56
2020-01-10 19:00:00+00:00,20.46
2020-01-10 20:00:00+00:00,21.12
2020-01-10 21:00:00+00:00,22.26
2020-01-10 22:00:00+00:00,25.08
2020-01-10 23:00:00+00:00,29.1
2020-01-11 00:00:00+00:00,32.52
2020-01-11 01:00:00+00:00,35.28
2020-01-11 02:00:00+00:00,36.12
2020-01-11 03:00:00+00:00,39.72
2020-01-11 04:00:00+00:00,39.12
2020-01-11 05:00:00+00:00,43.38
2020-01-11 06:00:00+00:00,43.02
2020-01-11 07:00:00+00:00,45.12
2020-01-11 08:00:00+00:00,44.52
2020-01-11 09:00:00+00:00,50.4
2020-01-11 10:00:00+00:00,46.2
2020-01-11 11:00:00+00:00,48.84
2020-01-11 12:00:00+00:00,47.58
2020-01-11 13:00:00+00:00,57.6
2020-01-11 14:00:00+00:00,45.42
2020-01-11 15:00:00+00:00,52.08
2020-01-11 16:00:00+00:00,52.08
2020-01-11 17:00:00+00:00,55.5
2020-01-11 18:00:00+00:00,56.46
2020-01-11 19:00:00+00:00,55.98
2020-01-11 20:00:00+00:00,54.72
2020-01-11 21:00:00+00:00,51.48
2020-01-11 22:00:00+00:00,55.44
2020-01-11 23:00:00+00:00,54.18
2020-01-12 00:00:00+00:00,55.26
2020-01-12 01:00:00+00:00,48.78
2020-01-12 02:00:00+00:00,50.34
2020-01-12 03:00:00+00:00,48
2020-01-12 04:00:00+00:00,49.08
2020-01-12 05:00:00+00:00,45.72
2020-01-12 06:00:00+00:00,45.54
2020-01-12 07:00:00+00:00,46.62
2020-01-12 08:00:00+00:00,48.72
2020-01-12 09:00:00+00:00,40.08
2020-01-12 10:00:00+00:00,45.36
2020-01-12 11:00:00+00:00,49.56
2020-01-12 12:00:00+00:00,53.28
2020-01-12 13:00:00+00:00,53.64
2020-01-12 14:00:00+00:00,48.24
2020-01-12 15:00:00+00:00,34.86
2020-01-12 16:00:00+00:00,24.3
2020-01-12 17:00:00+00:00,23.7
2020-01-12 18:00:00+00:00,21.18
2020-01-12 19:00:00+00:00,19.68
2020-01-12 20:00:00+00:00,20.28
2020-01-12 21:00:00+00:00,20.1
2020-01-12 22:00:00+00:00,25.26
2020-01-12 23:00:00+00:00,20.52
2020-01-13 00:00:00+00:00,24.9
2020-01-13 01:00:00+00:00,18.54
2020-01-13 02:00:00+00:00,22.62
2020-01-13 03:00:00+00:00,22.44
2020-01-13 04:00:00+00:00,27
2020-01-13 05:00:00+00:00,27.24
2020-01-13 06:00:00+00:00,24.3
2020-01-13 07:00:00+00:00,28.8
2020-01-13 08:00:00+00:00,31.92
2020-01-13 09:00:00+00:00,36.66
2020-01-13 10:00:00+00:00,45.84
2020-01-13 11:00:00+00:00,54.66
2020-01-13 12:00:00+00:00,53.34
2020-01-13 13:00:00+00:00,53.82
2020-01-13 14:00:00+00:00,57.96
2020-01-13 15:00:00+00:00,60.6
2020-01-13 16:00:00+00:00,61.38
2020-01-13 17:00:00+00:00,61.02
2020-01-13 18:00:00+00:00,57.96
2020-01-13 19:00:00+00:00,65.46
2020-01-13 20:00:00+00:00,66.54
2020-01-13 21:00:00+00:00,70.74
2020-01-13 22:00:00+00:00,65.34
2020-01-13 23:00:00+00:00,45.9
2020-01-14 00:00:00+00:00,46.68
2020-01-14 01:00:00+00:00,34.98
2020-01-14 02:00:00+00:00,32.7
2020-01-14 03:00:00+00:00,32.22
2020-01-14 04:00:00+00:00,33.78
2020-01-14 05:00:00+00:00,32.04
2020-01-14 06:00:00+00:00,31.38
2020-01-14 07:00:00+00:00,29.4
2020-01-14 08:00:00+00:00,35.22
2020-01-14 09:00:00+00:00,40.68
2020-01-14 10:00:00+00:00,40.86
2020-01-14 11:00:00+00:00,48.78
2020-01-14 12:00:00+00:00,55.26
2020-01-14 13:00:00+00:00,58.44
2020-01-14 14:00:00+00:00,62.58
2020-01-14 15:00:00+00:00,69.54
2020-01-14 16:00:00+00:00,82.98
2020-01-14 17:00:00+00:00,81.78
2020-01-14 18:00:00+00:00,78.96
2020-01-14 19:00:00+00:00,90.06
2020-01-14 20:00:00+00:00,85.74
2020-01-14 21:00:00+00:00,92.34
2020-01-14 22:00:00+00:00,80.16
2020-01-14 23:00:00+00:00,77.28
2020-01-15 00:00:00+00:00,71.52
2020-01-15 01:00:00+00:00,70.14
2020-01-15 02:00:00+00:00,66
2020-01-15 03:00:00+00:00,62.34
2020-01-15 04:00:00+00:00,54.42
2020-01-15 05:00:00+00:00,23.34
2020-01-15 06:00:00+00:00,11.4
2020-01-15 07:00:00+00:00,19.14
2020-01-15 08:00:00+00:00,17.04
2020-01-15 09:00:00+00:00,17.16
2020-01-15 10:00:00+00:00,23.4
2020-01-15 11:00:00+00:00,23.28
2020-01-15 12:00:00+00:00,28.26
2020-01-15 13:00:00+00:00,34.38
2020-01-15 14:00:00+00:00,34.14
2020-01-15 15:00:00+00:00,29.34
